,imgRatio,bboxData_x,bboxData_y,imgPath,categories,distance,areaSize,areaSizeDiff,imgRatioDiff,numberOfPerson,numberOfTree,numberOfHouse
0,0.62426614481409,191.08100000000002,583.562,/home/lys/ForestAndTree_v7.1/data/segmentation_data/5/5-1-1/10746.jpg,person,,464284,,,1,0,0
1,0.555878084179971,297.208,1056.926,/home/lys/ForestAndTree_v7.1/data/segmentation_data/5/5-1-1/11330.jpg,person,,609725,,,1,0,0
2,0.6777442094662638,239.92450000000002,472.1715,/home/lys/ForestAndTree_v7.1/data/segmentation_data/5/5-1-1/11447.jpg,person,,151857,,,1,0,0
3,0.7133004926108374,221.906,559.7724999999999,/home/lys/ForestAndTree_v7.1/data/segmentation_data/5/5-1-1/12133.jpg,person,,236273,,,1,0,0
4,0.7384916748285995,256.36,540.1089999999999,/home/lys/ForestAndTree_v7.1/data/segmentation_data/5/5-1-1/12319.jpg,person,,449152,,,1,0,0
5,1.3733333333333333,714.3050000000001,282.375,/home/lys/ForestAndTree_v7.1/data/segmentation_data/5/5-1-1/12456.jpg,person,,44622,,,1,0,0
6,0.745136186770428,279.59000000000003,515.542,/home/lys/ForestAndTree_v7.1/data/segmentation_data/5/5-1-1/12474.jpg,person,,436954,,,1,0,0
7,1.3432835820895523,509.355,310.64549999999997,/home/lys/ForestAndTree_v7.1/data/segmentation_data/5/5-1-1/12510.jpg,person,,193725,,,1,0,0
8,0.718503937007874,202.94,456.184,/home/lys/ForestAndTree_v7.1/data/segmentation_data/5/5-1-1/12850.jpg,person,,400960,,,1,0,0
9,1.33419689119171,494.40000000000003,325.012,/home/lys/ForestAndTree_v7.1/data/segmentation_data/5/5-1-1/12928.jpg,person,,341796,,,1,0,0
10,0.6541129831516352,218.13000000000002,708.8224999999999,/home/lys/ForestAndTree_v7.1/data/segmentation_data/5/5-1-1/12952.jpg,person,,92563,,,1,0,0
11,0.674373795761079,168.0,558.963,/home/lys/ForestAndTree_v7.1/data/segmentation_data/5/5-1-1/13013.jpg,person,,277200,,,1,0,0
12,1.3420365535248042,557.69,293.761,/home/lys/ForestAndTree_v7.1/data/segmentation_data/5/5-1-1/13045.jpg,person,,74236,,,1,0,0
13,0.745136186770428,278.44100000000003,613.202,/home/lys/ForestAndTree_v7.1/data/segmentation_data/5/5-1-1/13075.jpg,person,,318986,,,1,0,0
14,0.6549295774647887,246.078,491.036,/home/lys/ForestAndTree_v7.1/data/segmentation_data/5/5-1-1/13098.jpg,person,,53391,,,1,0,0
15,0.745136186770428,323.252,552.5500000000001,/home/lys/ForestAndTree_v7.1/data/segmentation_data/5/5-1-1/13129.jpg,person,,437968,,,1,0,0
16,0.4913406029506094,287.633,609.569,/home/lys/ForestAndTree_v7.1/data/segmentation_data/5/5-1-1/13139.jpg,person,,312416,,,2,0,0
17,0.4913406029506094,333.976,1683.72,/home/lys/ForestAndTree_v7.1/data/segmentation_data/5/5-1-1/13139.jpg,person,,110751,,,2,0,0
18,0.8744993324432577,218.4425,273.0105,/home/lys/ForestAndTree_v7.1/data/segmentation_data/5/5-1-1/13453.jpg,person,,236925,,,1,0,0
19,0.6904761904761905,222.4445,568.008,/home/lys/ForestAndTree_v7.1/data/segmentation_data/5/5-1-1/13825.jpg,person,,364182,,,1,0,0
20,0.747907949790795,272.41499999999996,363.28,/home/lys/ForestAndTree_v7.1/data/segmentation_data/5/5-1-1/13882.jpg,person,,85674,,,1,0,0
21,0.7119301648884578,313.418,460.85699999999997,/home/lys/ForestAndTree_v7.1/data/segmentation_data/5/5-1-1/13886.jpg,person,,188976,,,1,0,0
